"","sl_no","gender","ssc_p","ssc_b","hsc_p","hsc_b","hsc_s","degree_p","degree_t","workex","etest_p","specialisation","mba_p","status","salary"
"89",89,"F",66,"Central",62,"Central","Commerce",73,"Comm&Mgmt","No",58,"Mkt&HR",64.36,"Placed",210000
"90",90,"F",84,"Others",75,"Others","Science",69,"Sci&Tech","Yes",62,"Mkt&HR",62.36,"Placed",210000
"91",91,"F",85,"Others",90,"Others","Commerce",82,"Comm&Mgmt","No",92,"Mkt&Fin",68.03,"Placed",300000
"93",93,"F",60.23,"Central",69,"Central","Science",66,"Comm&Mgmt","No",72,"Mkt&Fin",59.47,"Placed",230000
"96",96,"M",73,"Central",78,"Others","Commerce",65,"Comm&Mgmt","Yes",95.46,"Mkt&Fin",62.16,"Placed",420000
"97",97,"F",76,"Central",70,"Central","Science",76,"Comm&Mgmt","Yes",66,"Mkt&Fin",64.44,"Placed",300000
"99",99,"F",69,"Central",73,"Central","Commerce",65,"Comm&Mgmt","No",70,"Mkt&Fin",57.31,"Placed",220000
"102",102,"M",63,"Central",72,"Central","Commerce",68,"Comm&Mgmt","No",78,"Mkt&HR",60.44,"Placed",380000
"105",105,"M",69,"Central",63,"Others","Science",65,"Comm&Mgmt","Yes",55,"Mkt&HR",58.23,"Placed",360000
"108",108,"M",82,"Others",90,"Others","Commerce",83,"Comm&Mgmt","No",80,"Mkt&HR",73.52,"Placed",200000
"109",109,"M",61,"Central",82,"Central","Commerce",69,"Comm&Mgmt","No",84,"Mkt&Fin",58.31,"Placed",300000
"111",111,"F",69.5,"Central",70,"Central","Science",72,"Sci&Tech","No",57.2,"Mkt&HR",54.8,"Placed",250000
"113",113,"M",58,"Others",61,"Others","Commerce",61,"Comm&Mgmt","No",58,"Mkt&HR",53.94,"Placed",250000
"114",114,"F",73.96,"Others",79,"Others","Commerce",67,"Comm&Mgmt","No",72.15,"Mkt&Fin",63.08,"Placed",280000
"115",115,"M",65,"Central",68,"Others","Science",69,"Comm&Mgmt","No",53.7,"Mkt&HR",55.01,"Placed",250000
"116",116,"F",73,"Others",63,"Others","Science",66,"Comm&Mgmt","No",89,"Mkt&Fin",60.5,"Placed",216000
"117",117,"M",68.2,"Central",72.8,"Central","Commerce",66.6,"Comm&Mgmt","Yes",96,"Mkt&Fin",70.85,"Placed",300000
"118",118,"M",77,"Others",75,"Others","Science",73,"Sci&Tech","No",80,"Mkt&Fin",67.05,"Placed",240000
"119",119,"M",76,"Central",80,"Central","Science",78,"Sci&Tech","Yes",97,"Mkt&HR",70.48,"Placed",276000
"123",123,"F",66.5,"Central",66.8,"Central","Arts",69.3,"Comm&Mgmt","Yes",80.4,"Mkt&Fin",71,"Placed",236000
"125",125,"M",67,"Central",71,"Central","Science",64.33,"Others","Yes",64,"Mkt&HR",61.26,"Placed",250000
"126",126,"F",84,"Central",73,"Central","Commerce",73,"Comm&Mgmt","No",75,"Mkt&Fin",73.33,"Placed",350000
"127",127,"F",79,"Others",61,"Others","Science",75.5,"Sci&Tech","Yes",70,"Mkt&Fin",68.2,"Placed",210000
"128",128,"F",72,"Others",60,"Others","Science",69,"Comm&Mgmt","No",55.5,"Mkt&HR",58.4,"Placed",250000
"129",129,"M",80.4,"Central",73.4,"Central","Science",77.72,"Sci&Tech","Yes",81.2,"Mkt&HR",76.26,"Placed",400000
"130",130,"M",76.7,"Central",89.7,"Others","Commerce",66,"Comm&Mgmt","Yes",90,"Mkt&Fin",68.55,"Placed",250000
"132",132,"F",74.9,"Others",57,"Others","Science",62,"Others","Yes",80,"Mkt&Fin",60.78,"Placed",360000
"133",133,"M",67,"Others",68,"Others","Commerce",64,"Comm&Mgmt","Yes",74.4,"Mkt&HR",53.49,"Placed",300000
"134",134,"M",73,"Central",64,"Others","Commerce",77,"Comm&Mgmt","Yes",65,"Mkt&HR",60.98,"Placed",250000
"135",135,"F",77.44,"Central",92,"Others","Commerce",72,"Comm&Mgmt","Yes",94,"Mkt&Fin",67.13,"Placed",250000
"136",136,"F",72,"Central",56,"Others","Science",69,"Comm&Mgmt","No",55.6,"Mkt&HR",65.63,"Placed",200000
"138",138,"M",67,"Others",63,"Central","Commerce",72,"Comm&Mgmt","No",56,"Mkt&HR",60.41,"Placed",225000
"139",139,"F",82,"Others",64,"Others","Science",73,"Sci&Tech","Yes",96,"Mkt&Fin",71.77,"Placed",250000
"140",140,"M",77,"Central",70,"Central","Commerce",59,"Comm&Mgmt","Yes",58,"Mkt&Fin",54.43,"Placed",220000
"141",141,"M",65,"Central",64.8,"Others","Commerce",69.5,"Comm&Mgmt","Yes",56,"Mkt&Fin",56.94,"Placed",265000
"143",143,"M",85,"Central",60,"Others","Science",73.43,"Sci&Tech","Yes",60,"Mkt&Fin",61.29,"Placed",260000
"144",144,"M",77.67,"Others",64.89,"Others","Commerce",70.67,"Comm&Mgmt","No",89,"Mkt&Fin",60.39,"Placed",300000
"146",146,"M",89.4,"Others",65.66,"Others","Science",71.25,"Sci&Tech","No",72,"Mkt&HR",63.23,"Placed",400000
"147",147,"M",62,"Central",63,"Others","Science",66,"Comm&Mgmt","No",85,"Mkt&HR",55.14,"Placed",233000
"148",148,"M",70,"Central",74,"Central","Commerce",65,"Comm&Mgmt","No",83,"Mkt&Fin",62.28,"Placed",300000
"149",149,"F",77,"Central",86,"Central","Arts",56,"Others","No",57,"Mkt&Fin",64.08,"Placed",240000
"153",153,"F",75.4,"Others",60.5,"Central","Science",84,"Sci&Tech","No",98,"Mkt&Fin",65.25,"Placed",240000
"155",155,"M",53,"Central",63,"Others","Science",60,"Comm&Mgmt","Yes",70,"Mkt&Fin",53.2,"Placed",250000
"157",157,"M",84.2,"Central",69.4,"Central","Science",65,"Sci&Tech","Yes",80,"Mkt&HR",52.72,"Placed",255000
"158",158,"M",66.5,"Central",62.5,"Central","Commerce",60.9,"Comm&Mgmt","No",93.4,"Mkt&Fin",55.03,"Placed",300000
"161",161,"M",87,"Central",74,"Central","Science",65,"Sci&Tech","Yes",75,"Mkt&HR",72.29,"Placed",300000
"165",165,"F",67.16,"Central",72.5,"Central","Commerce",63.35,"Comm&Mgmt","No",53.04,"Mkt&Fin",65.52,"Placed",250000
"167",167,"M",62,"Others",62,"Others","Commerce",60,"Comm&Mgmt","Yes",63,"Mkt&HR",52.38,"Placed",240000
"172",172,"M",80,"Others",80,"Others","Commerce",72,"Comm&Mgmt","Yes",63.79,"Mkt&Fin",66.04,"Placed",290000
"175",175,"M",73.24,"Others",50.83,"Others","Science",64.27,"Sci&Tech","Yes",64,"Mkt&Fin",66.23,"Placed",500000
"177",177,"F",59,"Central",60,"Others","Commerce",56,"Comm&Mgmt","No",55,"Mkt&HR",57.9,"Placed",220000
"178",178,"F",73,"Central",97,"Others","Commerce",79,"Comm&Mgmt","Yes",89,"Mkt&Fin",70.81,"Placed",650000
"179",179,"M",68,"Others",56,"Others","Science",68,"Sci&Tech","No",73,"Mkt&HR",68.07,"Placed",350000
"181",181,"M",65,"Central",71.5,"Others","Commerce",62.8,"Comm&Mgmt","Yes",57,"Mkt&Fin",56.6,"Placed",265000
"186",186,"F",88,"Central",72,"Central","Science",78,"Others","No",82,"Mkt&HR",71.43,"Placed",252000
"188",188,"M",78.5,"Central",65.5,"Central","Science",67,"Sci&Tech","Yes",95,"Mkt&Fin",64.86,"Placed",280000
"194",194,"F",60,"Central",63,"Central","Arts",56,"Others","Yes",80,"Mkt&HR",56.63,"Placed",300000
"196",196,"M",66,"Central",76,"Central","Commerce",72,"Comm&Mgmt","Yes",84,"Mkt&HR",58.95,"Placed",275000
"197",197,"M",72,"Others",63,"Others","Science",77.5,"Sci&Tech","Yes",78,"Mkt&Fin",54.48,"Placed",250000
"198",198,"F",83.96,"Others",53,"Others","Science",91,"Sci&Tech","No",59.32,"Mkt&HR",69.71,"Placed",260000
"201",201,"M",69,"Others",60,"Others","Commerce",65,"Comm&Mgmt","No",87.55,"Mkt&Fin",52.81,"Placed",300000
"203",203,"M",70,"Central",63,"Central","Science",66,"Sci&Tech","No",61.28,"Mkt&HR",60.11,"Placed",240000
"205",205,"F",74,"Others",73,"Others","Commerce",73,"Comm&Mgmt","Yes",80,"Mkt&Fin",67.69,"Placed",210000
"206",206,"M",61,"Others",62,"Others","Commerce",65,"Comm&Mgmt","No",62,"Mkt&Fin",56.81,"Placed",250000
"208",208,"M",83.33,"Central",78,"Others","Commerce",61,"Comm&Mgmt","Yes",88.56,"Mkt&Fin",71.55,"Placed",300000
"210",210,"M",62,"Central",72,"Central","Commerce",65,"Comm&Mgmt","No",67,"Mkt&Fin",56.49,"Placed",216000
"211",211,"M",80.6,"Others",82,"Others","Commerce",77.6,"Comm&Mgmt","No",91,"Mkt&Fin",74.49,"Placed",400000
"213",213,"M",67,"Others",67,"Others","Commerce",73,"Comm&Mgmt","Yes",59,"Mkt&Fin",69.72,"Placed",295000
"214",214,"F",74,"Others",66,"Others","Commerce",58,"Comm&Mgmt","No",70,"Mkt&HR",60.23,"Placed",204000
