"","X","Loan_ID","Principal","terms","effective_date","due_date","paid_off_time","past_due_days","age","education","Gender","loan_status"
"75",368,"xqd20160368",800,15,"9/11/2016","9/25/2016",NA,74,28,"Bechalor","male","COLLECTION"
"76",369,"xqd20160369",1000,30,"9/11/2016","10/10/2016",NA,59,24,"college","male","COLLECTION"
"77",374,"xqd20160374",1000,15,"9/11/2016","9/25/2016",NA,74,40,"High School or Below","male","COLLECTION"
"78",382,"xqd20160382",800,15,"9/11/2016","9/25/2016",NA,74,35,"High School or Below","male","COLLECTION"
"79",387,"xqd20160387",800,15,"9/11/2016","9/25/2016",NA,74,46,"High School or Below","male","COLLECTION"
"80",400,"xqd20160400",1000,30,"9/12/2016","10/11/2016",NA,58,26,"college","male","COLLECTION"
"81",401,"xqd20160401",1000,30,"9/9/2016","10/8/2016","10/10/2016 11:45",2,26,"college","male","COLLECTION_PAIDOFF"
"82",413,"xqd20160413",800,15,"9/11/2016","9/25/2016","9/27/2016 17:10",2,39,"college","male","COLLECTION_PAIDOFF"
"83",418,"xqd20160418",800,15,"9/11/2016","9/25/2016","9/28/2016 11:38",3,25,"High School or Below","male","COLLECTION_PAIDOFF"
"84",424,"xqd20160424",1000,15,"9/11/2016","10/10/2016","10/12/2016 11:17",2,24,"college","male","COLLECTION_PAIDOFF"
"85",427,"xqd20160427",1000,30,"9/11/2016","10/10/2016","10/11/2016 16:44",1,33,"college","male","COLLECTION_PAIDOFF"
"86",433,"xqd20160433",800,7,"9/11/2016","9/17/2016","9/19/2016 15:00",2,34,"Bechalor","female","COLLECTION_PAIDOFF"
"87",436,"xqd20160436",1000,30,"9/11/2016","10/10/2016","10/11/2016 16:27",1,29,"Bechalor","male","COLLECTION_PAIDOFF"
"88",444,"xqd20160444",1000,30,"9/11/2016","10/10/2016","11/7/2016 19:21",28,26,"college","female","COLLECTION"
"89",447,"xqd20420447",1000,30,"9/11/2016","10/10/2016","11/4/2016 11:07",25,31,"college","male","COLLECTION_PAIDOFF"
"90",449,"xqd20160449",1000,30,"9/11/2016","10/10/2016","10/13/2016 18:18",3,25,"High School or Below","male","COLLECTION_PAIDOFF"
"91",451,"xqd20160451",1000,30,"9/11/2016","10/10/2016","10/13/2016 16:27",3,38,"college","male","COLLECTION_PAIDOFF"
"92",452,"xqd20160452",800,15,"9/11/2016","9/25/2016","9/29/2016 11:19",4,41,"college","male","COLLECTION_PAIDOFF"
"93",455,"xqd20160455",1000,30,"9/12/2016","10/11/2016","10/17/2016 17:40",6,35,"High School or Below","male","COLLECTION_PAIDOFF"
"94",468,"xqd20160468",1000,15,"9/12/2016","10/26/2016","10/27/2016 11:14",1,41,"High School or Below","male","COLLECTION_PAIDOFF"
"95",469,"xqd20160469",1000,30,"9/12/2016","10/11/2016","10/15/2016 14:14",4,38,"High School or Below","male","COLLECTION_PAIDOFF"
"96",470,"xqd25660470",1000,30,"9/12/2016","10/11/2016","12/2/2016 9:45",52,26,"High School or Below","male","COLLECTION"
"97",473,"xqd20160473",800,15,"9/12/2016","9/26/2016","11/16/2016 12:12",51,33,"college","male","COLLECTION"
"98",481,"xqd20160481",1000,15,"9/12/2016","9/26/2016","10/25/2016 13:44",29,30,"Bechalor","male","COLLECTION"
"99",495,"xqd20160495",1000,30,"9/12/2016","10/11/2016","10/13/2016 14:45",2,30,"High School or Below","male","COLLECTION_PAIDOFF"
"100",499,"xqd20160499",1000,30,"9/12/2016","11/10/2016","11/11/2016 22:40",1,38,"college","female","COLLECTION_PAIDOFF"
